Crop_Year,Area,Production
2011,67265,96573
2012,9075,12021
2012,2915,5757
2012,68005,110152
2013,9630,14723
2013,4420,8883
2013,68300,105539
2014,9379,12595
2014,8500,12823
2014,67660,106274
1997,62078,25030
1997,21085,15466
1997,54249,34696
1998,61130,42143
1998,32483,61865
1998,41378,34890
1999,53533,31885
1999,42747,113070
1999,55397,75492
2000,34476,20677
2000,42849,96283
2000,55247,77761
2001,33201,25597
2001,47775,119692
2001,50035,50854
2002,28160,24945
2002,47608,101119
2002,53147,73955
2003,25280,18024
2003,47908,104444
2003,52703,68017
2004,24533,18005
2004,47750,102224
2004,33680,44188
2005,20905,24361
2005,36775,77302
2005,35593,44141
2006,18171,8264
2006,37514,111806
2006,33278,30927
2007,17727,15300
2007,38443,110250
2007,32955,35146
2008,16741,21135
2008,53404,111046
2008,29158,38985
2009,13235,7945
2009,53822,120411
2009,28871,33918
2010,7488,4629
2010,54200,172864
2010,33097,49607
2011,4380,2710
2011,52700,168047
2011,35500,54327
2012,4298,2341
2012,53050,190523
2012,35600,56164
2013,4169,5349
2013,47295,167391
2013,35140,63545
2014,4075,3852
2014,51015,193213
2014,30968,39396
1997,10448,13674
1997,314,376
1997,77456,88908
1998,8820,15544
1998,428,853
1998,75380,113898
1999,7271,12257
1999,446,990
1999,77358,121536
2000,8990,13676
2000,438,906
2000,77733,139429
2001,8661,8709
2001,502,1006
2001,76890,125269
2002,8576,10431
2002,88,167
2002,77726,116065
2003,5828,7163
2003,90,161
2003,77765,142704
2004,5828,5907
2004,70,137
2004,76902,142103
2005,373,437
2005,185,329
2005,79228,126425
2006,575,745
2006,54,109
2006,71300,110192
2007,267,187
2007,17,39
2007,58562,93506
2008,258,203
2008,18,38
2008,70268,135106
2009,107,93
2009,75,164
2009,74832,154678
2010,102,118
2010,136,350
2010,75859,162490
2011,95,116
2011,310,851
2011,77004,104292
2012,280,363
2012,415,1230
2012,76892,159734
2013,188,325
2013,403,1201
2013,77479,146528
2014,333,477
2014,1256,3693
2014,73139,124921
1997,5984,5393
1997,52,62
1997,8117,10606
1998,5886,8091
1998,36,72
1998,5938,11546
1999,5646,6945
1999,36,80
1999,8147,15320
2000,5772,6345
2000,34,70
2000,8139,15601
2001,5777,7800
2001,25,70
2001,8244,16256
2002,6015,8446
2002,32,61
2002,8400,15985
2003,4898,6131
2003,27,48
2003,7900,13245
2004,6028,8329
2004,20,39
2004,8350,16203
2005,6214,8530
2005,19,34
2005,8255,15945
2006,6219,7679
2006,14,28
2006,7755,10847
2007,6228,9106
2007,11,25
2007,8292,17594
2008,6224,8800
2008,25,53
2008,8290,16740
2009,6441,8947
2009,17,37
2009,9520,19887
2010,6405,10363
2010,14,36
2010,8828,11265
2011,6590,8923
2011,8980,27164
2012,6548,11327
2012,9645,25631
2013,6670,11477
2013,28,83
2013,9125,20277
2014,5607,10300
2014,9093,24211
1997,22550,17189
1997,7416,9225
1997,41750,32789
1998,18194,19174
1998,11000,26543
1998,38285,45857
1999,18042,23239
1999,12000,29412
1999,41124,54644
2000,17000,20040
2000,12600,30505
2000,40612,64925
2001,16692,19234
2001,12600,26586
2001,44000,74285
2002,15766,17221
2002,12700,31077
2002,43850,72390
2003,15567,16436
2003,12855,30518
2003,44213,56484
2004,15560,14578
2004,16320,37813
2004,39497,53533
2005,15714,17937
2005,15714,33927
2005,46268,66766
2006,15213,15165
2006,17500,39900
2006,39500,45678
2007,15250,16777
2007,18100,52019
2007,45050,56089
2008,15800,20569
2008,19500,53742
2008,48010,75333
2009,12231,13356
2009,22350,45371
2009,47127,81577
2010,10448,12715
2010,24524,68446
2010,48167,115697
2011,8690,10501
2011,19000,59394
2011,49000,74569
2012,8410,11552
2012,25000,79375
2012,49200,93968
2013,8624,9625
2013,25290,82243
2013,49245,116414
2014,8062,7552
2014,25434,81058
2014,50772,105221
1997,4427,3110
1997,103,89
1997,77675,100960
1998,6297,8565
1998,346,689
1998,75681,135873
1999,6595,7653
1999,1778,3945
1999,76815,143633
2000,7633,10656
2000,3280,6783
2000,79371,158994
2001,7184,10286
2001,3235,6482
2001,72975,150900
2002,5016,7114
2002,3272,7369
2002,77330,160604
2003,4820,8791
2003,3325,6340
2003,77851,168733
2004,4855,5378
2004,3680,7498
2004,74870,154482
2005,2433,4349
2005,3645,7814
2005,74250,143902
2006,3947,6207
2006,3802,7678
2006,55037,86986
2007,2295,4131
2007,3510,6848
2007,73464,140343
2008,1480,2620
2008,3560,5973
2008,75000,147716
2009,2015,2651
2009,4832,10165
2009,99859,209105
2010,2430,4750
2010,3625,7156
2010,103460,234365
2011,2489,4779
2011,4555,11564
2011,100991,214747
2012,1971,2460
2012,4435,11552
2012,117523,276307
2013,1915,4432
2013,4838,11716
2013,117398,278929
2014,1798,3411
2014,7663,16840
2014,114163,256004
1997,6500,8907
1997,750,866
1997,35500,35504
1998,5000,9663
1998,900,1251
1998,36500,54613
1999,6000,11105
1999,1500,1952
1999,37500,54299
2000,6500,14212
2000,3000,4866
2000,35000,60607
2001,6500,13470
2001,2000,2624
2001,39000,77291
2002,6500,12875
2002,2000,3570
2002,38500,82103
2003,6000,10745
2003,2100,0
2003,39000,91082
2004,6000,9635
2004,2010,3938
2004,38500,83658
2005,6000,12457
2005,1800,3204
2005,39000,75562
2006,2200,4168
2006,1350,2723
2006,39000,76523
2007,6010,10823
2007,3500,6458
2007,37650,75097
2008,5806,11100
2008,3900,7952
2008,40150,96576
2009,5619,12351
2009,2916,6357
2009,38474,98301
2010,6012,12776
2010,4050,7574
2010,38011,88109
2011,5800,13264
2011,3450,8684
2011,41350,90257
2012,3500,6940
2012,42100,104709
2013,3090,3287
2013,2035,3596
2013,41550,106983
2014,1973,5173
2014,2120,3744
2014,41250,117383
1997,5370,4670
1997,9560,11452
1997,84250,85639
1998,5100,5570
1998,4195,7623
1998,72235,124990
1999,13709,11854
1999,9430,20229
1999,87876,161627
2000,6540,6712
2000,1203,1798
2000,84000,156115
2001,8312,7157
2001,765,1360
2001,89852,159611
2002,4774,3002
2002,376,664
2002,72700,118514
2003,3723,2812
2003,566,1015
2003,80909,139740
2004,3512,2225
2004,474,712
2004,77555,131732
2005,4775,3786
2005,6894,5140
2005,76530,131911
2006,4228,2557
2006,767,1277
2006,70121,82755
2007,4520,4281
2007,745,1370
2007,81319,110464
2008,6175,5561
2008,349,369
2008,80328,131090
2009,5443,6369
2009,3930,4290
2009,87672,177520
2010,3353,3205
2010,3864,3597
2010,85597,175077
2011,3083,2195
2011,4035,4968
2011,85627,160882
2012,3272,2652
2012,4953,7657
2012,72092,165955
2013,3267,3282
2013,4663,7233
2013,86181,178210
2014,3396,4569
2014,4632,7242
2014,83865,164739
1997,52303,38310
1997,20849,27883
1997,104645,108106
1998,47321,42284
1998,21860,43305
1998,104737,139738
1999,34903,41783
1999,31307,51066
1999,103004,147321
2000,31958,39817
2000,44053,88127
2000,102850,141287
2001,28748,28186
2001,44836,97006
2001,98378,139064
2002,28235,26504
2002,44981,75907
2002,95669,142919
2003,28029,30147
2003,39805,79105
2003,97142,147425
2004,28014,11482
2004,24210,63293
2004,93947,146500
2005,12256,15507
2005,32020,64501
2005,80078,131306
2006,16532,14828
2006,29985,66485
2006,43658,56663
2007,14686,16767
2007,34128,97160
2007,69425,104504
2008,14055,17151
2008,35868,92515
2008,72315,118305
2009,13757,11950
2009,34853,88386
2009,69798,127917
2010,14012,23004
2010,35022,96010
2010,69839,161411
2011,13835,18773
2011,34899,93425
2011,73996,123666
2012,13284,10189
2012,36866,85371
2012,66688,142467
2013,13511,15175
2013,36808,107079
2013,71020,152006
2014,9246,13988
2014,36661,106170
2014,67720,140739
2005,1121,1450
2005,7063,14486
2005,10982,18335
2006,1421,1257
2006,7667,17580
2006,14195,18372
2007,1984,3510
2007,7890,17618
2007,15281,25047
2008,1250,823
2008,7960,15880
2008,20255,35593
2009,1132,1013
2009,7960,16660
2009,18715,38478
2010,1120,2212
2010,8020,19833
2010,20193,48564
2011,1211,1480
2011,8050,23417
2011,20500,40122
2012,1200,1169
2012,8040,19095
2012,20348,48404
2013,895,1181
2013,7990,23626
2013,20343,44745
2014,845,1208
2014,7967,23766
2014,20398,39782
1997,10354,7833
1997,160,192
1997,110191,110704
